id,name,idcomp,company,price,overall,health,environment,society 
"135859-fds-feminine-deodorant-spray","FDS Feminine Deodorant Spray Sheer Freshness","183-alberto-culver-company","Alberto-Culver Company","$4.99",5.5,4,6.5,6.2
"135858-fds-feminine-deodorant-spray","FDS Feminine Deodorant Spray Baby Powder","183-alberto-culver-company","Alberto-Culver Company","$2.87",5.5,4,6.5,6.2
"135862-fds-feminine-deodorant-spray","FDS Feminine Deodorant Spray, Extra Strength","183-alberto-culver-company","Alberto-Culver Company","$3.12",5.5,4,6.5,6.2
"135866-fds-pursonals-feminine-deodorant","FDS Pursonals Feminine Deodorant Spray, Extra Strength","183-alberto-culver-company","Alberto-Culver Company","Priceunavailable",5.5,4,6.5,6.2
"135867-fds-pursonals-feminine-deodorant","FDS Pursonals Feminine Deodorant Spray, White Blossom","183-alberto-culver-company","Alberto-Culver Company","Priceunavailable",5.5,4,6.5,6.2
"135865-fds-feminine-deodorant-spray","FDS Feminine Deodorant Spray, Shower Fresh, Extra Strength, Baby Powder","183-alberto-culver-company","Alberto-Culver Company","$2.90",5.5,4,6.5,6.2
"135864-fds-feminine-deodorant-spray","FDS Feminine Deodorant Spray, Natural Aloe, White Blossom","183-alberto-culver-company","Alberto-Culver Company","Priceunavailable",5.5,4,6.5,6.2
"212730-monistat-soothing-care-skin","Monistat Soothing Care Skin Protection Powder-Gel","159492-insight-pharmaceuticals-corporation","Insight Pharmaceuticals Corporation","$6.79",5.5,10,3.2,3.2
"392240-lady-anti-monkey-butt","Lady Anti Monkey Butt Anti Friction Powder","400406-dse-healthcare-solutions-llc","DSE Healthcare Solutions, LLC","$4.79",4.2,6,3.2,3.5
"193307-summers-eve-feminine-powder","Summer's Eve Feminine Powder, Original Formula","117965-c-b-fleet-company","C B Fleet Company","Priceunavailable",4.2,6,3.2,3.5
"337030-summers-eve-body-powder","Summer's Eve Body Powder, Sporty Fresh","117965-c-b-fleet-company","C B Fleet Company","$3.99",4.2,6,3.2,3.5
"193308-summers-eve-feminine-powder","Summer's Eve Feminine Powder, Original Formula, Bonus","117965-c-b-fleet-company","C B Fleet Company","Priceunavailable",4.2,6,3.2,3.5
"213459-summers-eve-feminine-deodorant","Summer's Eve Feminine Deodorant Powder For Women, Original Formula","117965-c-b-fleet-company","C B Fleet Company","$4.99",4.2,6,3.2,3.5
"213458-summers-eve-feminine-deodorant","Summer's Eve Feminine Deodorant Powder For Women, Cotton Breeze","117965-c-b-fleet-company","C B Fleet Company","$3.99",4.2,6,3.2,3.5
"151148-vagisil-feminine-powder-with","Vagisil Feminine Powder with Baking Soda","118044-combe-incorporated","Combe, Incorporated","$4.99",4.1,6,3.2,3.2
"168391-vagisil-deodorant-powder-fresh","Vagisil Deodorant Powder, Fresh Scent","118044-combe-incorporated","Combe, Incorporated","Priceunavailable",4.1,6,3.2,3.2
"366107-vagisil-deodorant-powder-enriched","Vagisil Deodorant Powder Enriched with Vitamin E, A and D, Odor Blocking Protection","118044-combe-incorporated","Combe, Incorporated","$3.30",4.1,6,3.2,3.2
"193303-summers-eve-feminine-deodorant","Summer's Eve Feminine Deodorant Spray, Baby Powder","117965-c-b-fleet-company","C B Fleet Company","$4.19",3.6,4,3.2,3.5
"176280-vagi-gard-feminine-deodorant","Vagi-Gard Feminine Deodorant Spray, Sensitive Formula with Baby Powder, Vitamin E and Slippery Elm Bark","118541-lake-consumer-products-incorporated","Lake Consumer Products, Incorporated","Priceunavailable",2.2,0,3.2,3.4
