"team","played","wins","draws","losses","goals_for","goals_against","goals_diff","points","goals_game"
"barcelona",38,30,4,4,110,21,89,94,2.89473684210526
"real madrid",38,30,2,6,118,38,80,92,3.10526315789474
"atletico madrid",38,23,9,6,67,29,38,78,1.76315789473684
"valencia",38,22,11,5,70,32,38,77,1.84210526315789
"seville",38,23,7,8,71,45,26,76,1.86842105263158
"villarreal",38,16,12,10,48,37,11,60,1.26315789473684
"athletic bilbao",38,15,10,13,42,41,1,55,1.10526315789474
"celta vigo",38,13,12,13,47,44,3,51,1.23684210526316
"malaga",38,14,8,16,42,48,-6,50,1.10526315789474
"espanyol",38,13,10,15,47,51,-4,49,1.23684210526316
"rayo vallecano",38,15,4,19,46,68,-22,49,1.21052631578947
"real sociedad",38,11,13,14,44,51,-7,46,1.15789473684211
"elche",38,11,8,19,35,62,-27,41,0.921052631578947
"levante",38,9,10,19,34,67,-33,37,0.894736842105263
"getafe",38,10,7,21,33,64,-31,37,0.868421052631579
"deportivo la coruna",38,7,14,17,35,60,-25,35,0.921052631578947
"granada",38,7,14,17,29,64,-35,35,0.763157894736842
"eibar",38,9,8,21,34,55,-21,35,0.894736842105263
"almeria",38,8,8,22,35,64,-29,32,0.921052631578947
"cordoba",38,3,11,24,22,68,-46,20,0.578947368421053
