"","teams","tickets"
"1","cowboys",110.2
"2","patriots",117.84
"3","giants",111.69
"4","bears",103.6
"5","jets",110.28
"6","redskins",94.8
"7","ravens",100.19
"8","eagles",93.01
"9","texans",88.98
"10","chargers",84.55
"11","steelers",81.13
"12","packers",82.61
"13","49ers",83.54
"14","saints",74.99
"15","broncos",84.27
"16","colts",86.32
"17","falcons",83.71
"18","vikings",78.69
"19","rams",74.49
"20","seahawks",71.21
"21","cardinals",79.56
"22","dolphins",71.14
"23","raiders",64.8
"24","titans",65.28
"25","lions",67.6
"26","bengals",68.96
"27","jaguars",68.44
"28","chiefs",64.92
"29","buccaneers",63.59
"30","bills",57.75
"31","panthers",66.84
"32","browns",54.2
